platform_id,video_id,watch_count,total_time_watched,price_per_watch
159,1181,1513,36312,0.25
117,655,794140,19853500,0.42
30,1346,842177,5895239,0.44
160,113,1997,11982,0.14
103,1445,376330,6773940,0.38
142,1955,612737,8578318,0.34
159,1971,1510,57380,0.29
139,721,74451,2680236,0.17
149,1400,999949,39997960,0.47
58,457,170802,4440852,0.17
54,1439,432843,17313720,0.41
69,1493,458341,13750230,0.13
35,1711,451326,2256630,0.22
56,1449,442364,11943828,0.14
6,1484,868934,44315634,0.49
18,1610,485034,23766666,0.3
149,622,712773,38489742,0.37
42,1486,806441,41128491,0.28
158,696,1501,30020,0.25
93,34,279999,11199960,0.32
126,31,776476,14753044,0.23
46,239,836450,18401900,0.32
34,712,239563,2635193,0.46
78,1237,407576,9374248,0.32
8,951,736011,9568143,0.38
55,1702,367772,20963004,0.48
25,949,256830,12841500,0.14
160,20,2006,44132,0.2
160,1487,1998,11988,0.24
101,390,199549,7183764,0.46
159,331,1511,42308,0.41
49,1566,220721,3310815,0.13
86,419,645823,16145575,0.19
132,85,871766,43588300,0.16
159,864,1514,9084,0.31
158,1682,1498,73402,0.41
134,501,877192,29824528,0.38
98,360,506932,13180232,0.26
55,1115,924361,28655191,0.33
159,1698,1512,30240,0.38
158,798,1501,43529,0.13
25,1626,977612,26395524,0.37
96,838,216876,12578808,0.23
142,1532,213870,9624150,0.22
133,1924,589177,5891770,0.29
162,459,1502,40554,0.4
59,1951,109819,5271312,0.48
113,1541,446676,4020084,0.13
162,422,1504,18048,0.38
159,21,1509,63378,0.47
32,1521,658010,32242490,0.2
95,827,983539,48193411,0.17
162,1454,1501,45030,0.1
162,1465,1500,39000,0.23
45,818,88743,4880865,0.21
100,1121,646889,11644002,0.18
159,519,1511,43819,0.26
4,50,444170,25317690,0.24
161,258,1502,9012,0.49
40,588,159254,3344334,0.26
162,1395,1493,80622,0.36
159,1528,1510,80030,0.39
24,437,7565,363120,0.19
107,68,783116,7831160,0.39
24,1930,624955,28747930,0.29
89,93,28031,504558,0.35
19,915,503538,19134444,0.35
158,1605,1502,72096,0.21
43,365,842333,28639322,0.14
160,61,2004,58116,0.48
156,1082,337865,4392245,0.47
138,569,729213,43752780,0.27
127,59,811351,20283775,0.47
94,1801,629181,8808534,0.43
159,960,1510,63420,0.3
25,1306,763377,19084425,0.22
162,1202,1498,77896,0.48
132,233,143415,1003905,0.23
88,1031,111278,2336838,0.19
159,1851,1507,18084,0.47
50,22,816519,45725064,0.26
94,1150,865836,51084324,0.16
86,740,214654,2575848,0.22
96,595,397107,14295852,0.4
70,1885,980945,28447405,0.1
159,1465,1516,39416,0.11
32,1174,246698,10854712,0.24
56,1026,381128,9528200,0.2
161,1511,1505,30100,0.4
160,198,1996,59880,0.23
160,798,2000,58000,0.3
160,715,2005,56140,0.22
2,1504,747779,31406718,0.41
159,1227,1509,79977,0.12
52,1747,475925,10946275,0.19
109,1157,200578,5415606,0.38
64,508,262723,15237934,0.37
109,1137,423719,20762231,0.25
142,1848,626171,25046840,0.14
150,1361,163728,982368,0.4
159,1522,1513,19669,0.27
147,184,65418,1635450,0.42
